bubbleSort
len;random array;ordered array;reversed ordered array
1000;0.0013;0;0.0015
1500;0.003;0;0.0031
2250;0.0069;0;0.0068
3375;0.0155;0;0.0155
5062;0.0367;0;0.0348
7593;0.0873;0;0.0777
11389;0.2134;0.0001;0.1738
17083;0.5104;0;0.3945
25624;1.1971;0.0001;0.8891
38436;2.7661;0.0001;2.0001
shellSort
len;random array;ordered array;reversed ordered array
1000;0.0001;0.0001;0.0001
1500;0.0005;0;0.0001
2250;0.001;0.0001;0.0001
3375;0.002;0;0.0002
5062;0.0039;0.0002;0.0004
7593;0.0095;0.0003;0.0005
11389;0.0169;0.0002;0.0007
17083;0.0366;0.0007;0.0013
25624;0.097;0.0011;0.0017
38436;0.2065;0.0015;0.0027
binsertSort
len;random array;ordered array;reversed ordered array
1000;0.0006;0;0.0009
1500;0.0014;0.0002;0.0022
2250;0.0026;0.0001;0.0046
3375;0.0056;0.0003;0.0104
5062;0.0121;0.0004;0.0228
7593;0.0264;0.0006;0.0508
11389;0.0596;0.001;0.115
17083;0.1309;0.0015;0.258
25624;0.2938;0.0024;0.5799
38436;0.6555;0.0035;1.2993
mergeSort
len;random array;ordered array;reversed ordered array
1000;0.0005;0.0005;0.0004
1500;0.0006;0.0007;0.0007
2250;0.0013;0.001;0.001
3375;0.0014;0.0016;0.0016
5062;0.0027;0.0023;0.0023
7593;0.0039;0.0036;0.0035
11389;0.0061;0.0052;0.0053
17083;0.0092;0.0079;0.0078
25624;0.0138;0.0121;0.0121
38436;0.0213;0.0184;0.0184
qsort
len;random array;ordered array;reversed ordered array
1000;0.0002;0.0002;0.0002
1500;0.0006;0.0003;0.0004
2250;0.0006;0.0006;0.0005
3375;0.0013;0.0007;0.0008
5062;0.0017;0.0013;0.0013
7593;0.0027;0.0019;0.0019
11389;0.0041;0.0026;0.0031
17083;0.0058;0.0047;0.0049
25624;0.0086;0.0073;0.0074
38436;0.0124;0.0116;0.0119
